plot_code;lat;long;n_plots;plot_size_m2;sampled_area_ha;n_census;site_area_ha;forest_type;ph;p;k;ca;mg;al;sb
BAH_07;-14.47048333;-44.18843333;51;400;2.04;2;38.6018536;Deciduous;7.052941176;15.50588235;75.01960784;11.62941176;1.517647059;0;13.33892482
BOC_01;-22.161732;-44.465836;10;400;0.4;2;3.414670365;Evergreen;4.57;3.01;40.7;0.75;0.3;1.69;1.154092072
BOC_02;-22.2175;-44.5389;26;400;1.04;4;8.327341784;Evergreen;4.4;1.784615385;14.73076923;0.338461538;0.119230769;1.792307692;0.495366909
BON_01;-15.301732;-44.745427;15;400;0.6;3;18.75521787;Deciduous;6.026666667;10.54666667;147.4666667;4.574666667;0.904666667;0;5.856485934
COQ_01;-21.094738;-45.346985;20;400;0.8;3;28.31796786;Semideciduous;4.665;2.78;92.1;1.325;0.43;2.135;1.990549872
COQ_02;-21.1553;-45.4714;25;400;1;3;10.84990854;Semideciduous;5.216;1.388;77.92;3.088;1.068;1.04;4.355283887
CRR_01;-21.6121;-44.612;30;400;1.2;4;34.96189952;Evergreen;4.096666667;3.633333333;56.96666667;0.293333333;0.103333333;3.34;0.542361466
DEC_01;-14.4138;-44.1627;20;400;0.8;5;40.34682308;Deciduous;6.405;2.24;138.1;11.155;1.665;0.005;13.17319693
DEC_02;-15.603655;-44.676733;30;400;1.2;3;51.47163552;Deciduous;6.22;7.568008043;51.168;3.77;2.49;0;6.39086445
DEC_03;-14.54361;-44.204472;10;400;0.4;4;49.33657682;Deciduous;6.99;2.274;152.4;16.85;1.88;0;19.11976982
DEC_04;-14.2663;-44.1068;5;400;0.2;2;13.64448416;Deciduous;6.34;9.11;75.2;6.62;1.16;0.08;7.972327366
DEC_05;-14.430405;-44.492452;5;400;0.2;5;3.519037237;Deciduous;6.82;13.864;196;12.04;1.58;0;14.12127877
DEC_06;-14.4919;-44.1841;12;400;0.48;5;177.8551196;Deciduous;6.468686869;1.901952862;158.1077441;8.949494949;0.878787879;0.047474747;10.23265046
IBI_01;-21.7103;-43.8855;48;200;0.96;5;78.27592448;Evergreen;4.25;4.385416667;39.54166667;0.6;0.277083333;2.01875;0.978212915
ING_01;-21.4098;-44.8929;25;400;1;5;18.88572236;Semideciduous;5;1.76;53.76;1.096;0.656;1.048;1.889493606
ITM_01;-22.353705;-44.794441;25;400;1;2;8.804424214;Evergreen;4.084;1.756;54.64;0.1;0.1;2.444;0.339744246
ITT_01;-21.35255;-44.60896;42;225;0.945;5;4.59435448;Semideciduous;4.680952381;2.880952381;93.64285714;1.052380952;0.611904762;1.878571429;1.903781512
ITT_02;-21.35561389;-44.61553333;28;300;0.84;5;7.872302363;Semideciduous;4.139285714;1.925;47.89285714;0.303571429;0.117857143;1.810714286;0.543916698
LAG_07;-27.843744;-50.233324;48;200;0.96;2;31.15635867;Mixed;4.327083333;3.2125;38.5625;3.48125;1.347916667;2.66875;4.927791987
LAG_08;-28.338121;-49.737633;50;200;1;2;271.9762013;Mixed;5.1;7.3;166;6.5;3.37;0.47;10.29455243
LAG_09;-28.195746;-50.748317;50;200;1;2;466.0459737;Mixed;4.583333333;3.2125;89.64583333;4.602708333;3.358958333;1.962291667;8.190939897
LAG_10;-27.75132;-50.42995;50;200;1;2;40.161225;Mixed;4.8;2.9;128;3.42;3.82;1.03;7.567365729
LAG_11;-28.074527;-49.625613;25;400;1;2;32.06682405;Mixed;3.872;2.024;100.68;1.2676;0.2424;6.8424;1.767493606
LAG_12;-27.854083;-50.166115;50;200;1;2;164.9363827;Mixed;4.87;6.052;135.78;6.992;1.916;2.068;9.255263427
LAG_13;-27.55762;-50.957456;48;200;0.96;2;56.27599337;Mixed;4.583333333;3.2125;89.64583333;4.602708333;3.358958333;1.962291667;8.190939897
LAG_14;-27.791842;-50.34759;25;400;1;3;130.56837;Mixed;3.8;4.2;76;0.5;0.32;6.87;1.014373402
LUM_01;-21.484996;-44.906547;32;400;1.28;4;75.4380027;Semideciduous;5.034375;1.4375;79.96875;1.3875;0.7125;0.978125;2.304523657
MDD_01;-21.4885;-44.3762;68;225;1.53;7;24.1857349;Semideciduous;5.064285714;2.371428571;29.54285714;0.52;0.217142857;1.01;0.812700036
MGT_08;-18.498028;-48.38533;25;400;1;2;239.1768825;Semideciduous;6.352;4.668;164.8;6.996;1.856;0;9.273483376
MGT_09;-18.951608;-48.204801;25;400;1;2;28.92010562;Semideciduous;4.92;2.32;64.688;3.308;0.808;1.192;4.281442455
MGT_10;-19.145827;-48.146047;25;400;1;2;26.71831676;Semideciduous;4.744;1.872;35.2;0.116;0.092;1.696;0.298025575
MGT_11;-18.748419;-47.512907;25;400;1;2;95.49608901;Semideciduous;5.48;1.264;59.48;3.416;0.796;0.092;4.364122762
MGT_12;-19.169046;-48.39381;25;400;1;2;48.25617965;Semideciduous;5.896;2.104;113.652;4.076;1.504;0;5.870670077
MGT_13;-18.929584;-48.064686;25;400;1;2;47.80456233;Semideciduous;4.648;1.1;30.04;0.26;0.14;1;0.476828645
MGT_14;-18.860444;-48.230342;25;400;1;2;23.24015154;Semideciduous;4.64;2.784;47.52;0.764;0.344;1.12;1.229534527
MGT_15;-19.675778;-48.033904;25;400;1;2;97.82906659;Semideciduous;5.712;1.508;86.44;3.44;0.936;0.088;4.597074169
MON_01;-14.439426;-44.428966;25;400;1;2;26.36282557;Deciduous;6.6488;2.776;173.88;12.1048;2.4508;0;15.00030588
MTR_01;-21.6069;-44.5569;30;400;1.2;3;1179.119066;Semideciduous;4.313333333;2.486666667;62.86666667;0.686666667;0.26;2.466666667;1.107450981
PEB_1;-27.863;-50.190218;50;200;1;3;127.626252;Mixed;4.87;6.052;135.78;6.992;1.916;2.068;9.255263427
PIE_01;-21.4884;-44.1006;30;400;1.2;3;28.95211636;Semideciduous;4.686666667;1.1;78.23333333;1.836666667;1.226666667;0.81;3.263418585
PNP_01;-15.124641;-44.148886;5;400;0.2;2;682.4210377;Deciduous;6.561304348;55.16086957;183.4782609;9.609130435;1.778695652;0;11.85707995
PNP_02;-15.124641;-44.148886;24;400;0.96;2;682.4210377;Deciduous;6.092;2.3224;125.7432;5.104;1.072;0.1;6.497593862
POC_01;-21.3292;-44.9717;26;300;0.78;3;97.40326604;Semideciduous;4.315384615;3.076923077;56.61538462;0.296153846;0.119230769;3.030769231;0.560180995
POC_03;-21.3292;-44.9717;14;300;0.42;8;97.40326604;Semideciduous;4.5;4.455263158;46.5;0.463157895;0.163157895;2.452631579;0.745241621
SUB_01;-21.2214;-44.9631;48;400;1.92;4;10.26702006;Semideciduous;4.653061224;1.12244898;58.40816327;1.420408163;0.867346939;0.863265306;2.437136594
SUB_02;-21.228679;-44.970273;126;400;5.04;8;6.032178996;Semideciduous;4.176984127;2.144444444;36.98095238;0.392857143;0.10952381;1.801587302;0.596961394
SUB_03;-21.2737;-44.882;28;400;1.12;6;11.0443366;Semideciduous;4.603571429;1.392857143;36.25;1.753571429;0.596428571;1.292857143;2.442710997
SUB_04;-21.219513;-44.980136;29;400;1.16;4;5.105772413;Semideciduous;5.089655172;1.172413793;52.27586207;2.755172414;1.693103448;0.606896552;4.581973719
SUB_05;-21.157994;-44.90525;15;400;0.6;4;40.5436537;Semideciduous;4.787719298;2.151378446;59.65551378;1.470050125;0.572180451;1.315288221;2.194802222
